sta.scratch,DateTime,depth.ft,temp.C,sp.Cond,sal,pH,DO.perc,DO.MgL
BI-HN1            B,11/25/24 8:30,17.12,19.19,49.86,32.71,8.02,95.0,7.23
M,11/25/24 8:31,8.87,18.34,48.40,31.64,8.08,107.2,8.34
S,11/25/24 8:32,0.73,17.59,46.02,29.91,8.09,109.8,8.76
BI-HN2            B,11/25/24 8:10,13.13,18.85,49.11,32.16,7.98,98.2,7.55
M,11/25/24 8:12,6.81,18.32,48.14,31.44,8.02,105.2,8.20
S,11/25/24 8:13,0.72,17.58,47.00,30.61,8.07,109.7,8.72
BI-HS1             B,11/23/24 12:49,20.18,20.21,51.70,34.05,8.19,100.8,7.47
M,11/23/24 12:50,10.61,20.29,51.69,34.05,8.17,98.8,7.31
S,11/23/24 12:51,0.69,20.76,51.73,34.08,8.16,99.2,7.27
BI-HS2             B,11/23/24 12:32,16.89,19.22,51.32,33.78,8.19,103.5,7.82
M,11/23/24 12:33,8.36,19.53,51.35,33.80,8.17,100.7,7.57
S,11/23/24 12:34,0.69,20.31,51.50,33.91,8.16,99.4,7.36
BI-DK15          B,11/23/24 13:05,11.31,19.01,51.26,33.73,8.21,109.2,8.29
M,11/23/24 13:06,5.65,19.47,51.26,33.74,8.18,102.3,7.70
S,11/23/24 13:07,0.68,19.89,51.20,33.69,8.16,101.5,7.58
BI-NDK4         B,11/24/24 7:59,6.67,18.63,49.57,32.49,8.04,108.3,8.34
M,11/24/24 8:00,3.47,17.98,48.63,31.81,8.10,107.5,8.42
S,11/24/24 8:01,0.72,17.91,48.55,31.75,8.13,107.3,8.42
BI-DK13          B,11/24/24 8:16,13.15,18.99,50.45,33.14,8.15,104.0,7.92
M,11/24/24 8:17,6.52,17.70,48.65,31.82,8.17,107.0,8.42
S,11/24/24 8:18,0.73,17.64,48.43,31.66,8.17,106.5,8.40
BI-SDK4          B,11/24/24 8:32,13.16,18.47,49.64,32.54,8.16,105.7,8.16
M,11/24/24 8:33,6.55,18.43,48.81,31.94,8.16,102.7,7.97
S,11/24/24 8:34,0.73,18.10,48.50,31.71,8.17,104.1,8.14
BI-DK11          B,11/24/24 8:45,9.72,19.05,50.10,32.88,8.18,109.6,8.35
M,11/24/24 8:46,4.80,18.14,48.98,32.06,8.17,106.1,8.27
S,11/24/24 8:47,0.73,17.98,48.88,31.98,8.17,105.5,8.25
BI-NDK3         B,11/24/24 8:58,8.34,18.19,48.95,32.04,8.19,109.9,8.56
M,11/24/24 8:59,4.22,18.07,48.74,31.89,8.19,110.4,8.63
S,11/24/24 9:00,0.74,18.03,20.51,12.31,8.19,109.3,8.55
BI-NDK7         B,11/24/24 9:11,10.68,18.78,49.24,32.25,8.17,107.9,8.29
M,11/24/24 9:12,5.43,17.68,48.12,31.43,8.19,109.7,8.66
S,11/24/24 9:14,0.74,17.61,47.98,31.33,8.18,109.6,8.66
BI-DK9            B,11/24/24 9:23,9.60,18.78,49.80,32.66,8.21,115.0,8.83
M,11/24/24 9:24,4.79,18.11,48.80,31.93,8.20,112.1,8.75
S,11/24/24 9:25,0.74,18.10,48.79,31.92,8.20,111.1,8.67
BI-SDK6          B,11/24/24 9:35,4.48,18.29,48.70,31.86,8.19,107.7,8.38
M,11/24/24 9:36,2.11,18.30,48.71,31.86,8.19,108.0,8.40
S,11/24/24 9:37,0.75,18.31,48.68,31.84,8.19,107.7,8.38
BI-SDK3          B,11/24/24 9:51,7.88,18.17,48.88,31.99,8.20,110.6,8.62
M,11/24/24 9:53,4.45,18.12,48.77,31.91,8.20,111.0,8.66
S,11/24/24 9:54,0.75,18.14,48.72,31.87,8.20,110.9,8.65
BI-SDK5          B,11/24/24 10:04,11.69,19.48,50.07,32.86,8.16,106.5,8.05
M,11/24/24 10:05,6.75,18.97,48.99,32.07,8.17,108.3,8.31
S,11/24/24 10:07,0.77,18.44,48.16,31.46,8.19,108.8,8.46
BI-DK7            B,11/24/24 10:22,9.07,18.05,48.48,31.69,8.22,112.2,8.78
M,11/24/24 10:23,4.42,18.05,48.49,31.70,8.21,112.2,8.78
S,11/24/24 10:24,0.74,18.04,39.33,25.12,8.21,111.8,8.75
BI-NDK2         B,11/24/24 10:36,18.23,19.77,50.79,33.39,8.16,101.5,7.61
M,11/24/24 10:37,9.15,18.27,48.64,31.81,8.20,110.4,8.59
S,11/24/24 10:38,0.74,17.84,47.96,31.31,8.19,110.1,8.66
BI-DK5            B,11/24/24 10:50,11.06,19.52,50.06,32.85,8.17,107.0,8.08
M,11/24/24 10:51,5.65,18.48,48.58,31.77,8.19,108.9,8.44
S,11/24/24 10:52,0.73,18.47,48.50,31.71,8.19,109.3,8.48
BI-SDK2          B,11/24/24 11:02,13.18,19.82,50.16,32.92,8.16,105.7,7.94
M,11/24/24 11:04,7.61,19.10,49.24,32.25,8.16,104.4,7.98
S,11/24/24 11:05,0.74,18.57,48.32,31.58,8.19,108.5,8.41
BI-SDK1          B,11/24/24 11:22,9.65,20.34,50.53,33.19,8.19,109.6,8.14
M,11/24/24 11:23,4.81,18.89,48.35,31.60,8.18,109.9,8.47
S,11/24/24 11:24,0.72,18.55,47.80,31.20,8.20,111.9,8.70
BI-DK3            B,11/24/24 11:36,6.11,18.12,47.79,31.19,8.21,112.3,8.80
M,11/24/24 11:37,3.03,18.12,47.75,31.16,8.21,112.7,8.83
S,11/24/24 11:38,0.71,18.13,47.76,31.17,8.21,113.2,8.87
BI-NDK6         B,11/24/24 11:52,19.06,19.91,50.90,33.47,8.14,96.1,7.18
M,11/24/24 11:53,9.26,18.09,48.09,31.41,8.19,108.4,8.49
S,11/24/24 11:54,0.71,17.88,47.65,31.09,8.19,109.9,8.66
BI-NDK1         B,11/24/24 12:06,16.66,19.60,49.88,32.72,8.14,98.9,7.47
M,11/24/24 12:07,8.59,19.00,48.96,32.05,8.15,102.4,7.85
S,11/24/24 12:08,0.69,18.23,47.81,31.20,8.19,108.7,8.50
BI-DK1            B,11/24/24 12:22,5.04,18.18,47.28,30.82,8.22,114.0,8.94
M,11/24/24 12:23,2.15,18.20,47.29,30.83,8.22,114.6,8.99
S,11/24/24 12:24,0.69,18.20,47.29,30.83,8.22,114.7,9.00
BI-NDK8         B,11/25/24 8:46,20.79,19.08,49.71,32.60,8.05,99.2,7.57
M,11/25/24 8:47,10.45,18.59,48.59,31.78,8.11,109.3,8.46
S,11/25/24 8:48,0.74,17.76,46.45,30.22,8.09,108.5,8.61
BI-NDK5         B,11/25/24 9:02,6.74,18.68,48.59,31.77,8.12,111.6,8.62
M,11/25/24 9:03,3.53,18.50,48.38,31.63,8.11,109.2,8.47
S,11/25/24 9:04,0.74,18.57,48.19,31.49,8.10,108.3,8.40
BI-ES26           B,11/23/24 10:57,15.69,18.84,49.94,32.76,8.16,99.8,7.65
M,11/23/24 10:59,7.66,18.92,49.47,32.42,8.16,101.0,7.74
S,11/23/24 11:00,0.75,18.81,49.12,32.16,8.16,101.2,7.78
BI-ES25           B,11/23/24 11:15,13.48,18.51,49.81,32.67,8.13,95.1,7.33
M,11/23/24 11:16,7.56,18.53,48.86,31.97,8.17,101.7,7.87
S,11/23/24 11:17,0.76,18.57,47.74,31.15,8.16,103.7,8.06
BI-ES24           B,11/23/24 11:28,13.58,19.02,49.68,32.57,8.16,100.1,7.65
M,11/23/24 11:29,6.64,18.66,48.90,32.00,8.17,102.1,7.88
S,11/23/24 11:30,0.74,18.81,47.94,31.30,8.16,104.4,8.07
BI-ES20           B,11/23/24 11:40,11.71,19.31,49.78,32.64,8.17,101.4,7.70
M,11/23/24 11:41,5.96,18.87,49.08,32.14,8.17,101.8,7.82
S,11/23/24 11:42,0.73,19.03,48.21,31.50,8.16,102.7,7.90
BI-ES21           B,11/23/24 11:53,10.96,19.14,49.88,32.72,8.17,101.2,7.71
M,11/23/24 11:55,5.15,19.07,48.86,31.98,8.16,102.6,7.86
S,11/23/24 11:56,0.72,19.09,48.87,31.98,8.16,102.7,7.86
BI-ES19           B,11/24/24 12:35,14.31,19.33,49.45,32.40,8.14,97.5,7.41
M,11/24/24 12:36,6.49,18.45,47.92,31.29,8.18,105.9,8.25
S,11/24/24 12:38,0.68,18.30,47.55,31.01,8.19,109.0,8.52
BI-ES18           B,11/24/24 12:49,17.95,19.47,49.83,32.68,8.11,93.7,7.10
M,11/24/24 12:50,8.78,19.08,49.16,32.20,8.14,98.6,7.54
S,11/24/24 12:52,0.68,18.01,46.72,30.42,8.20,110.4,8.71
BI-ES23           B,11/24/24 13:07,8.67,20.13,49.25,32.26,8.17,105.1,7.88
M,11/24/24 13:08,4.00,19.15,48.40,31.64,8.15,102.2,7.84
S,11/24/24 13:09,0.67,18.49,46.69,30.39,8.19,109.8,8.58
BI-ES22          B,11/24/24 13:18,9.46,20.12,49.29,32.29,8.09,87.9,6.59
M,11/24/24 13:20,4.65,19.27,47.71,31.13,8.17,104.7,8.03
S,11/24/24 13:21,0.65,18.82,46.86,30.52,8.20,112.3,8.72
BI-CC14          B,11/23/24 9:53,12.49,18.76,49.98,32.79,8.16,99.6,7.64
M,11/23/24 9:54,6.14,19.16,49.98,32.79,8.16,99.7,7.59
S,11/23/24 9:55,0.86,19.18,49.98,32.79,8.16,99.7,7.59
BI-CC15          B,11/23/24 10:09,12.66,19.01,49.98,32.79,8.18,100.9,7.70
M,11/23/24 10:10,6.62,19.19,49.96,32.78,8.16,100.1,7.61
S,11/23/24 10:11,0.89,19.25,49.94,32.77,8.16,100.2,7.61
BI-CC16          B,11/23/24 10:24,10.39,18.66,50.03,32.83,8.16,99.6,7.65
M,11/23/24 10:25,6.14,19.18,49.96,32.78,8.16,100.0,7.61
S,11/23/24 10:26,0.80,19.24,49.96,32.78,8.16,100.0,7.60
BI-CC17          B,11/23/24 10:38,15.47,18.90,49.96,32.78,8.17,100.8,7.71
M,11/23/24 10:39,7.55,19.28,49.97,32.79,8.16,100.6,7.64
S,11/23/24 10:40,0.76,19.39,49.97,32.78,8.16,100.7,7.63
BI-CC13          B,11/24/24 13:35,14.97,19.82,49.53,32.46,8.13,95.7,7.21
M,11/24/24 13:36,7.26,19.60,49.23,32.25,8.18,108.3,8.20
S,11/24/24 13:37,0.64,19.48,47.13,30.71,8.21,112.5,8.61
BI-CC8            B,11/24/24 13:47,18.21,19.68,49.67,32.56,8.12,94.3,7.12
M,11/24/24 13:48,8.94,19.68,49.65,32.55,8.13,96.9,7.31
S,11/24/24 13:50,0.65,19.41,47.32,30.85,8.19,109.6,8.40
BI-CC12          B,11/24/24 14:05,15.82,19.70,49.64,32.55,8.15,100.4,7.58
M,11/24/24 14:07,7.76,19.74,49.60,32.51,8.15,102.8,7.75
S,11/24/24 14:08,0.65,19.57,47.79,31.19,8.19,111.8,8.52
BI-CC7            B,11/25/24 9:29,17.68,19.71,49.85,32.69,8.06,93.7,7.07
M,11/25/24 9:31,8.80,19.44,48.96,32.05,8.08,98.2,7.47
S,11/25/24 9:32,0.75,18.19,0.83,0.41,8.14,108.0,10.16
BI-CC11          B,11/25/24 9:45,17.20,19.60,49.81,32.67,8.07,96.4,7.28
M,11/25/24 9:46,8.61,19.17,48.58,31.77,8.10,100.0,7.66
