sample.id,ann,mol,art,ech,misc,tot.sample.biomass
BI-CC10-A,0.0997,0.0523,0.1076,0.0004,0.0398,0.2998
BI-CC10-B,0.0991,0.0000,0.0975,0.0000,0.2024,0.3990
BI-CC10-C,0.0538,0.0000,0.0010,0.0000,0.0058,0.0606
BI-CC11-A,0.0596,0.2022,0.0389,0.0006,0.0000,0.3013
BI-CC11-B,0.1092,0.0149,0.2036,0.0086,0.0134,0.3497
BI-CC11-C,0.0569,0.0081,0.0556,0.0000,0.0825,0.2031
BI-CC12-A,0.0337,0.0440,0.0025,0.0000,0.0000,0.0802
BI-CC12-B,0.0483,0.0190,0.0020,0.0000,0.0051,0.0744
BI-CC12-C,0.0268,0.0754,0.0030,0.0000,0.0027,0.1079
BI-CC13-A,0.0063,0.0752,0.0040,0.0000,0.0028,0.0883
BI-CC13-B,0.0268,0.0936,0.0107,0.0000,0.0000,0.1311
BI-CC13-C,0.0090,0.0042,0.0036,0.0000,0.0050,0.0218
BI-CC14-A,0.0242,0.0000,0.0000,0.1928,0.0000,0.2170
BI-CC14-B,0.0559,0.0858,0.0094,0.0000,0.0202,0.1713
BI-CC14-C,0.0000,0.0323,0.0019,0.0000,0.0126,0.0468
BI-CC15-A,0.0643,0.0705,0.1035,1.6039,0.0000,1.8422
BI-CC15-B,0.0344,0.0673,0.0076,0.0000,0.0215,0.1308
BI-CC15-C,0.0000,0.0000,0.0070,0.0000,0.0082,0.0152
BI-CC16-A,0.0002,0.0000,0.0117,0.0000,0.0000,0.0119
BI-CC16-B,0.1090,0.0026,0.0029,0.0000,0.0000,0.1145
BI-CC16-C,0.0186,0.0000,0.0142,0.0000,0.0000,0.0328
BI-CC17-A,0.0729,0.0000,0.0179,1.6538,0.0000,1.7446
BI-CC17-B,0.0001,0.0000,0.0042,0.0000,0.0040,0.0083
BI-CC17-C,0.0000,0.0558,0.0248,0.0000,0.0218,0.1024
BI-CC5-A,0.0734,0.0033,0.0906,0.0000,0.0403,0.2076
BI-CC5-B,0.0356,0.0000,0.0251,0.0000,0.0549,0.1156
BI-CC5-C,0.2750,0.0345,0.0198,0.0000,0.0248,0.3541
BI-CC6-A,0.1097,0.1334,0.0068,0.0000,0.0031,0.2530
BI-CC6-B,0.0565,0.0910,0.0091,0.0000,0.0002,0.1568
BI-CC6-C,0.0441,0.0171,0.0030,0.0000,0.0034,0.0676
BI-CC7-A,0.0332,0.0202,0.1433,0.0058,0.0559,0.2584
BI-CC7-B,0.0341,0.0000,0.0389,0.0020,0.0025,0.0775
BI-CC7-C,0.0435,0.0175,0.0366,0.0023,0.1884,0.2883
BI-CC8-A,0.0191,0.0000,0.0006,0.0000,0.2100,0.2297
BI-CC8-B,0.0254,0.0000,0.0118,0.0005,0.0098,0.0475
BI-CC8-C,0.0934,0.0071,0.1059,0.0020,0.8579,1.0663
BI-CC9-A,0.5830,0.0072,0.0763,0.0003,0.2886,0.9554
BI-CC9-B,0.1385,0.1594,0.0228,0.0042,0.0117,0.3366
