station,rep,n.indiv,n.taxa,density,mean.taxa,tot.taxa,mean.density,tot.n.indiv,density.sd,taxa.sd,diversity.H,evenness.J
BI-CC10,A,28,15,700.0 ,12.0 ,22,691.7 ,83,38.2 ,3.0 ,2.51 ,0.81 
,B,29,12,725.0 ,,,,,,,,
,C,26,9,650.0 ,,,,,,,,
,,,,,,,,,,,,
BI-CC11,A,41,16,1025.0 ,18.0 ,34,1116.7 ,134,158.8 ,2.6 ,3.03 ,0.86 
,B,41,21,1025.0 ,,,,,,,,
,C,52,17,1300.0 ,,,,,,,,
,,,,,,,,,,,,
BI-CC12,A,18,9,450.0 ,10.3 ,19,641.7 ,77,398.7 ,1.2 ,2.56 ,0.87 
,B,44,11,1100.0 ,,,,,,,,
,C,15,11,375.0 ,,,,,,,,
,,,,,,,,,,,,
BI-CC13,A,14,10,350.0 ,9.0 ,18,458.3 ,55,146.5 ,1.0 ,2.43 ,0.84 
,B,25,9,625.0 ,,,,,,,,
,C,16,8,400.0 ,,,,,,,,
,,,,,,,,,,,,
BI-CC14,A,5,4,125.0 ,4.3 ,10,141.7 ,17,76.4 ,1.5 ,2.08 ,0.91 
,B,9,6,225.0 ,,,,,,,,
,C,3,3,75.0 ,,,,,,,,
,,,,,,,,,,,,
BI-CC15,A,12,10,300.0 ,6.7 ,14,208.3 ,25,137.7 ,4.2 ,2.51 ,0.95 
,B,11,8,275.0 ,,,,,,,,
,C,2,2,50.0 ,,,,,,,,
,,,,,,,,,,,,
BI-CC16,A,5,2,125.0 ,2.7 ,6,108.3 ,13,28.9 ,0.6 ,1.29 ,0.72 
,B,3,3,75.0 ,,,,,,,,
,C,5,3,125.0 ,,,,,,,,
,,,,,,,,,,,,
BI-CC17,A,9,5,225.0 ,4.7 ,10,208.3 ,25,125.8 ,1.5 ,2.03 ,0.88 
,B,3,3,75.0 ,,,,,,,,
,C,13,6,325.0 ,,,,,,,,
,,,,,,,,,,,,
BI-CC5,A,13,11,325.0 ,8.3 ,17,316.7 ,38,162.7 ,3.8 ,2.49 ,0.88 
,B,19,10,475.0 ,,,,,,,,
,C,6,4,150.0 ,,,,,,,,
,,,,,,,,,,,,
BI-CC6,A,35,14,875.0 ,11.7 ,21,666.7 ,80,212.6 ,2.5 ,2.54 ,0.84 
,B,27,12,675.0 ,,,,,,,,
,C,18,9,450.0 ,,,,,,,,
,,,,,,,,,,,,
BI-CC7,A,25,11,625.0 ,10.7 ,21,566.7 ,68,170.2 ,1.5 ,2.49 ,0.82 
,B,15,9,375.0 ,,,,,,,,
,C,28,12,700.0 ,,,,,,,,
,,,,,,,,,,,,
BI-CC8,A,9,7,225.0 ,11.0 ,21,491.7 ,59,398.7 ,4.6 ,2.80 ,0.92 
,B,12,10,300.0 ,,,,,,,,
,C,38,16,950.0 ,,,,,,,,
,,,,,,,,,,,,
BI-CC9,A,36,19,900.0 ,16.7 ,31,1033.3 ,124,275.4 ,4.9 ,2.92 ,0.85 
,B,54,20,1350.0 ,,,,,,,,
,C,34,11,850.0 ,,,,,,,,
,,,,,,,,,,,,
BI-DK1,A,17,4,425.0 ,5.3 ,11,325.0 ,39,132.3 ,1.2 ,1.77 ,0.74 
,B,15,6,375.0 ,,,,,,,,
,C,7,6,175.0 ,,,,,,,,
,,,,,,,,,,,,
BI-DK11,A,12,5,300.0 ,4.3 ,9,166.7 ,20,115.5 ,0.6 ,1.83 ,0.83 
,B,4,4,100.0 ,,,,,,,,
,C,4,4,100.0 ,,,,,,,,
,,,,,,,,,,,,
BI-DK13,A,12,5,300.0 ,7.7 ,17,408.3 ,49,232.3 ,3.1 ,2.33 ,0.82 
,B,27,11,675.0 ,,,,,,,,
,C,10,7,250.0 ,,,,,,,,
,,,,,,,,,,,,
BI-DK15,A,26,6,650.0 ,6.3 ,12,491.7 ,59,177.4 ,3.5 ,1.89 ,0.76 
,B,12,3,300.0 ,,,,,,,,
,C,21,10,525.0 ,,,,,,,,
,,,,,,,,,,,,
BI-DK3,A,26,8,650.0 ,7.7 ,13,450.0 ,54,180.3 ,0.6 ,2.04 ,0.80 
,B,16,7,400.0 ,,,,,,,,
,C,12,8,300.0 ,,,,,,,,
,,,,,,,,,,,,
BI-DK5,A,6,6,150.0 ,5.7 ,12,158.3 ,19,14.4 ,0.6 ,2.33 ,0.94 
,B,6,5,150.0 ,,,,,,,,
,C,7,6,175.0 ,,,,,,,,
,,,,,,,,,,,,
BI-DK7,A,8,6,200.0 ,5.7 ,8,250.0 ,30,66.1 ,0.6 ,1.80 ,0.87 
,B,13,6,325.0 ,,,,,,,,
,C,9,5,225.0 ,,,,,,,,
,,,,,,,,,,,,
BI-DK9,A,9,8,225.0 ,5.0 ,11,233.3 ,28,137.7 ,3.0 ,1.73 ,0.72 
,B,4,2,100.0 ,,,,,,,,
,C,15,5,375.0 ,,,,,,,,
,,,,,,,,,,,,
BI-ES18,A,11,8,275.0 ,6.3 ,14,291.7 ,35,225.5 ,2.9 ,2.14 ,0.81 
,B,21,8,525.0 ,,,,,,,,
,C,3,3,75.0 ,,,,,,,,
,,,,,,,,,,,,
BI-ES19,A,25,14,625.0 ,13.0 ,23,658.3 ,79,202.1 ,3.6 ,2.66 ,0.85 
,B,19,9,475.0 ,,,,,,,,
,C,35,16,875.0 ,,,,,,,,
,,,,,,,,,,,,
BI-ES20,A,7,4,175.0 ,4.7 ,10,158.3 ,19,52.0 ,1.2 ,2.21 ,0.96 
,B,8,6,200.0 ,,,,,,,,
,C,4,4,100.0 ,,,,,,,,
,,,,,,,,,,,,
BI-ES21,A,13,7,325.0 ,5.3 ,11,291.7 ,35,38.2 ,1.5 ,2.03 ,0.84 
,B,10,5,250.0 ,,,,,,,,
,C,12,4,300.0 ,,,,,,,,
,,,,,,,,,,,,
BI-ES22,A,11,9,275.0 ,5.3 ,13,191.7 ,23,76.4 ,3.2 ,2.23 ,0.87 
,B,5,3,125.0 ,,,,,,,,
,C,7,4,175.0 ,,,,,,,,
,,,,,,,,,,,,
BI-ES23,A,28,11,700.0 ,10.3 ,20,591.7 ,71,94.6 ,1.2 ,2.03 ,0.68 
,B,22,9,550.0 ,,,,,,,,
,C,21,11,525.0 ,,,,,,,,
,,,,,,,,,,,,
BI-ES24,A,5,4,125.0 ,6.0 ,13,175.0 ,21,109.0 ,3.5 ,2.43 ,0.95 
,B,12,10,300.0 ,,,,,,,,
,C,4,4,100.0 ,,,,,,,,
,,,,,,,,,,,,
BI-ES25,A,6,3,150.0 ,2.3 ,5,91.7 ,11,62.9 ,1.2 ,1.47 ,0.91 
,B,4,3,100.0 ,,,,,,,,
,C,1,1,25.0 ,,,,,,,,
,,,,,,,,,,,,
BI-ES26,A,9,6,225.0 ,5.7 ,11,358.3 ,43,152.8 ,0.6 ,1.43 ,0.60 
,B,21,5,525.0 ,,,,,,,,
,C,13,6,325.0 ,,,,,,,,
,,,,,,,,,,,,
BI-HN1,A,33,13,825.0 ,11.0 ,20,616.7 ,74,226.8 ,2.6 ,2.29 ,0.76 
,B,15,8,375.0 ,,,,,,,,
,C,26,12,650.0 ,,,,,,,,
,,,,,,,,,,,,
BI-HN2,A,22,12,550.0 ,12.3 ,25,550.0 ,66,0.0 ,1.5 ,2.93 ,0.91 
,B,22,11,550.0 ,,,,,,,,
,C,22,14,550.0 ,,,,,,,,
,,,,,,,,,,,,
BI-HS1,A,14,7,350.0 ,10.3 ,17,508.3 ,61,142.2 ,3.5 ,2.41 ,0.85 
,B,22,14,550.0 ,,,,,,,,
,C,25,10,625.0 ,,,,,,,,
,,,,,,,,,,,,
BI-HS2,A,13,8,325.0 ,6.3 ,13,308.3 ,37,76.4 ,1.5 ,2.13 ,0.83 
,B,9,6,225.0 ,,,,,,,,
,C,15,5,375.0 ,,,,,,,,
,,,,,,,,,,,,
BI-NDK1,A,19,10,475.0 ,9.0 ,18,400.0 ,48,90.1 ,1.0 ,2.45 ,0.85 
,B,12,9,300.0 ,,,,,,,,
,C,17,8,425.0 ,,,,,,,,
,,,,,,,,,,,,
BI-NDK2,A,15,10,375.0 ,12.0 ,26,566.7 ,68,177.4 ,2.6 ,2.76 ,0.85 
,B,24,11,600.0 ,,,,,,,,
,C,29,15,725.0 ,,,,,,,,
,,,,,,,,,,,,
BI-NDK3,A,8,3,200.0 ,4.0 ,8,283.3 ,34,87.8 ,1.0 ,1.12 ,0.54 
,B,15,4,375.0 ,,,,,,,,
,C,11,5,275.0 ,,,,,,,,
,,,,,,,,,,,,
BI-NDK4,A,2,2,50.0 ,4.3 ,9,175.0 ,21,139.2 ,2.5 ,1.95 ,0.89 
,B,6,4,150.0 ,,,,,,,,
,C,13,7,325.0 ,,,,,,,,
,,,,,,,,,,,,
BI-NDK5,A,25,6,625.0 ,6.7 ,15,591.7 ,71,276.5 ,0.6 ,1.22 ,0.45 
,B,12,7,300.0 ,,,,,,,,
,C,34,7,850.0 ,,,,,,,,
,,,,,,,,,,,,
BI-NDK6,A,18,12,450.0 ,10.0 ,22,425.0 ,51,139.2 ,2.0 ,2.45 ,0.79 
,B,11,8,275.0 ,,,,,,,,
,C,22,10,550.0 ,,,,,,,,
,,,,,,,,,,,,
BI-NDK7,A,7,4,175.0 ,4.7 ,8,250.0 ,30,152.1 ,2.1 ,1.76 ,0.85 
,B,6,3,150.0 ,,,,,,,,
,C,17,7,425.0 ,,,,,,,,
,,,,,,,,,,,,
BI-NDK8,A,25,14,625.0 ,12.7 ,25,641.7 ,77,200.5 ,2.3 ,2.86 ,0.89 
,B,34,14,850.0 ,,,,,,,,
,C,18,10,450.0 ,,,,,,,,
,,,,,,,,,,,,
BI-SDK1,A,17,7,425.0 ,7.0 ,15,375.0 ,45,132.3 ,2.0 ,2.01 ,0.74 
,B,9,5,225.0 ,,,,,,,,
,C,19,9,475.0 ,,,,,,,,
,,,,,,,,,,,,
BI-SDK2,A,13,6,325.0 ,6.7 ,11,391.7 ,47,115.5 ,1.2 ,1.80 ,0.75 
,B,21,8,525.0 ,,,,,,,,
,C,13,6,325.0 ,,,,,,,,
,,,,,,,,,,,,
BI-SDK3,A,10,5,250.0 ,5.7 ,11,375.0 ,45,125.0 ,3.1 ,1.83 ,0.76 
,B,15,9,375.0 ,,,,,,,,
,C,20,3,500.0 ,,,,,,,,
