station,phylum,class,order,family,taxa,rep.a,rep.b,rep.c,total,
BI-CC10,Annelida,Polychaeta,Amphinomida,Amphinomidae,Paramphinome sp. B,1,0,0,1,
BI-CC10,Annelida,Polychaeta,Opheliida,Opheliidae,Armandia maculata,1,2,0,3,
BI-CC10,Annelida,Polychaeta,Phyllodocida,Goniadidae,Glycinde solitaria,1,1,4,6,
BI-CC10,Annelida,Polychaeta,Phyllodocida,Hesionidae,Podarkeopsis levifuscina,0,0,1,1,
BI-CC10,Annelida,Polychaeta,Phyllodocida,Pilargidae,Sigambra tentaculata,0,1,0,1,
BI-CC10,Annelida,Polychaeta,Phyllodocida,Pilargidae,Sigambra wassi,1,1,0,2,
BI-CC10,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Sthenelais limicola,0,0,1,1,
BI-CC10,Annelida,Polychaeta,Scolecida,Capitellidae,Mediomastus (LPIL),0,0,1,1,
BI-CC10,Annelida,Polychaeta,Spionida,Chaetopteridae,Spiochaetopterus oculatus,2,3,8,13,
BI-CC10,Annelida,Polychaeta,Spionida,Spionidae,Paraprionospio pinnata,5,4,7,16,
BI-CC10,Annelida,Polychaeta,Spionida,Spionidae,Prionospio perkinsi,0,2,0,2,
BI-CC10,Arthropoda,Malacostraca,Amphipoda,Liljeborgiidae ,Idunella barnardi,1,0,0,1,
BI-CC10,Arthropoda,Malacostraca,Cumacea,Diastylidae,Oxyurostylis lecroyae,1,0,0,1,
BI-CC10,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus (LPIL),0,0,1,1,
BI-CC10,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Pinnixa sayana,8,7,0,15,
BI-CC10,Echinodermata,Ophiuroidea,,,Ophiuroidea (LPIL),1,0,0,1,
BI-CC10,Hemichordata,Enteropneusta,,Ptychoderidae,Balanoglossus (LPIL),0,1,0,1,
BI-CC10,Mollusca,Bivalvia,,,Bivalvia (LPIL),1,0,0,1,
BI-CC10,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Nassarius acutus,1,0,0,1,
BI-CC10,Nemertea,Anopla,Heteronemertea,Lineidae,Lineidae (LPIL),1,2,0,3,
BI-CC10,Nemertea,Anopla,Paleonemertea,Tubulanidae,Tubulanus sp. A,2,4,2,8,
BI-CC10,Nemertea,,,,Nemertea (LPIL),1,1,1,3,
BI-CC11,Annelida,Polychaeta,Amphinomida,Amphinomidae,Paramphinome sp. B,0,1,1,2,
BI-CC11,Annelida,Polychaeta,Eunicida,Onuphidae,Diopatra cuprea,2,0,0,2,
BI-CC11,Annelida,Polychaeta,Phyllodocida,Goniadidae,Glycinde solitaria,1,1,4,6,
BI-CC11,Annelida,Polychaeta,Phyllodocida,Hesionidae,Podarkeopsis levifuscina,0,3,1,4,
