Station,n.dets,n.ind,mean.ann,mean.mol,mean.art,mean.ech,mean.misc,mean.tot,per.gravel.c,per.gravel.f,per.sand.c,per.sand.m,per.sand.f,per.fines,per.TOC,depth.ft.bot,temp.C.bot,sp.Cond.bot,sal.bot,pH.bot,DO.perc.bot,DO.MgL.bot,depth.ft.mid,temp.C.mid,sp.Cond.mid,sal.mid,pH.mid,DO.perc.mid,DO.MgL.mid,depth.ft.sur,temp.C.sur,sp.Cond.sur,sal.sur,pH.sur,DO.perc.sur,DO.MgL.sur,lat,lon,sta.depth,sta.type
BI_CC10,28485,94,0.0842,0.017433333333333332,0.0687,1.3333333333333334e-4,0.08266666666666667,0.2531333333333333,0,0,0.6,9.9,30,59.5,0.501,17.79,19.54,49.8,32.66,8.09,96.1,7.27,8.61,19.37,49.12,32.16,8.11,100.4,7.64,0.73,18.97,47.58,31.04,8.13,104.3,8.05,30.2238,-88.9278,5.65,SI Array
BI_CC11,4673,90,0.07523333333333333,0.07506666666666667,0.09936666666666666,0.0030666666666666668,0.03196666666666667,0.2847,0,0,0.4,6.5,71.5,21.6,0.393,17.2,19.6,49.81,32.67,8.07,96.4,7.28,8.61,19.17,48.58,31.77,8.1,100,7.66,0.74,18.61,47.17,30.74,8.13,106.9,8.32,30.2258,-88.9188,5.56,SI Array
BI_CC12,105978,196,0.03626666666666667,0.04613333333333333,0.0025,0,0.0026000000000000003,0.0875,0,0,0.1,1.7,87.9,10.6,0.446,15.82,19.7,49.64,32.55,8.15,100.4,7.58,7.76,19.74,49.6,32.51,8.15,102.8,7.75,0.65,19.57,47.79,31.19,8.19,111.8,8.52,30.2285,-88.909,5.14,SI Array
BI_CC13,9175,94,0.014033333333333333,0.05766666666666667,0.0060999999999999995,0,0.0026,0.0804,0,0,0,27.7,69.6,2.7,0.081,14.97,19.82,49.53,32.46,8.13,95.7,7.21,7.26,19.6,49.23,32.25,8.18,108.3,8.2,0.64,19.48,47.13,30.71,8.21,112.5,8.61,30.2372,-88.9002,4.78,SI Array
BI_CC14,19795,120,0.026699999999999998,0.03936666666666667,0.003766666666666667,0.06426666666666667,0.010933333333333333,0.14503333333333335,0,0,0.1,1.8,95.1,3,ND,12.49,18.76,49.98,32.79,8.16,99.6,7.64,6.14,19.16,49.98,32.79,8.16,99.7,7.59,0.86,19.18,49.98,32.79,8.16,99.7,7.59,30.2128,-88.9297,4.09,SI Array
BI_CC15,61702,140,0.0329,0.04593333333333333,0.03936666666666667,0.5346333333333334,0.009899999999999999,0.6627333333333334,0,0,0,1.4,95.7,2.9,ND,12.66,19.01,49.98,32.79,8.18,100.9,7.7,6.62,19.19,49.96,32.78,8.16,100.1,7.61,0.89,19.25,49.94,32.77,8.16,100.2,7.61,30.2145,-88.9204,3.89,SI Array
BI_CC16,68432,132,0.0426,8.666666666666666e-4,0.009600000000000001,0,0,0.05306666666666667,0,0,0,5.6,90.3,4.1,ND,10.39,18.66,50.03,32.83,8.16,99.6,7.65,6.14,19.18,49.96,32.78,8.16,100,7.61,0.8,19.24,49.96,32.78,8.16,100,7.6,30.2174,-88.9115,2.7,SI Array
BI_CC17,87064,207,0.024333333333333335,0.018600000000000002,0.015633333333333332,0.5512666666666667,0.0086,0.6184333333333333,0,0,0,1.6,98,0.4,ND,15.47,18.9,49.96,32.78,8.17,100.8,7.71,7.55,19.28,49.97,32.79,8.16,100.6,7.64,0.76,19.39,49.97,32.78,8.16,100.7,7.63,30.2215,-88.9023,4.77,SI Array
BI_CC5,20544,87,0.128,0.0126,0.04516666666666667,0,0.04,0.22576666666666667,0,0,1.3,18,39.7,41,0.51,18.39,19.42,49.83,32.68,8.11,99.8,7.56,9.12,19.27,48.39,31.63,8.12,100.4,7.68,0.73,19.19,47.53,31,8.13,104.7,8.05,30.2269,-88.9345,5.78,SI Array
BI_CC6,8740,66,0.0701,0.0805,0.0063,0,0.0022333333333333333,0.15913333333333332,0,0,0,6.7,84.1,9.2,0.166,16.62,19.63,49.84,32.69,8.09,98.4,7.43,8.38,19.59,49.64,32.55,8.1,100.3,7.58,0.74,18.71,47.07,30.67,8.14,106.6,8.28,30.2295,-88.9251,5.28,SI Array
BI_CC7,8070,69,0.03693333333333333,0.012566666666666667,0.07293333333333334,0.0033666666666666667,0.08226666666666667,0.20806666666666668,0,0,1.4,9.5,30.9,58.2,0.553,17.68,19.71,49.85,32.69,8.06,93.7,7.07,8.8,19.44,48.96,32.05,8.08,98.2,7.47,0.75,18.19,0.83,0.41,8.14,108,10.16,30.232,-88.9163,5.53,SI Array
BI_CC8,52195,98,0.04596666666666666,0.0023666666666666667,0.039433333333333334,8.333333333333334e-4,0.35923333333333335,0.44783333333333336,0,0,0.7,12.4,22.8,64.1,0.616,18.21,19.68,49.67,32.56,8.12,94.3,7.12,8.94,19.68,49.65,32.55,8.13,96.9,7.31,0.65,19.41,47.32,30.85,8.19,109.6,8.4,30.2347,-88.907,5.68,SI Array
BI_CC9,17964,140,0.28096666666666664,0.057499999999999996,0.034466666666666666,0.0033666666666666667,0.11433333333333334,0.49063333333333337,0,0,1.9,10.9,34.6,52.6,0.575,17.9,19.41,49.77,32.64,8.08,94,7.13,8.99,19.18,48.93,32.03,8.15,105.3,8.05,0.74,19.24,48.09,31.41,8.14,104.4,8,30.2216,-88.936,5.77,SI Array
BI_DK1,56202,174,0.14756666666666668,0.247,0.021233333333333333,0.22413333333333332,0.0026666666666666666,0.6426000000000001,0,0,0.1,14.6,82.8,2.5,0.067,5.04,18.18,47.28,30.82,8.22,114,8.94,2.15,18.2,47.29,30.83,8.22,114.6,8.99,0.69,18.2,47.29,30.83,8.22,114.7,9,30.2485,-88.8607,2.05,SI Array
BI_DK11,1722,92,0.07316666666666666,0,0.006333333333333333,0.2769,0.0483,0.4047,0,0,0,70.2,27.9,1.9,ND,9.72,19.05,50.1,32.88,8.18,109.6,8.35,4.8,18.14,48.98,32.06,8.17,106.1,8.27,0.73,17.98,48.88,31.98,8.17,105.5,8.25,30.2458,-88.802,3.36,SI Array
BI_DK13,26419,200,0.0059,0.04136666666666666,0.026933333333333333,0.03066666666666667,0.012733333333333334,0.1176,0,0,0,11.7,87.5,0.8,ND,13.15,18.99,50.45,33.14,8.15,104,7.92,6.52,17.7,48.65,31.82,8.17,107,8.42,0.73,17.64,48.43,31.66,8.17,106.5,8.4,30.2452,-88.7906,4.12,SI Array
BI_DK15,78820,150,7.333333333333333e-4,0.2341,0.024900000000000002,0.025666666666666667,0,0.2854,0,0,0,0.6,96.8,2.6,ND,11.31,19.01,51.26,33.73,8.21,109.2,8.29,5.65,19.47,51.26,33.74,8.18,102.3,7.7,0.68,19.89,51.2,33.69,8.16,101.5,7.58,30.2364,-88.7796,3.8,SI Array
BI_DK3,3995,111,0.11483333333333333,0.47853333333333337,0.0687,0.8209666666666667,0,1.4830333333333332,0,0,0,5.9,93,1.1,ND,6.11,18.12,47.79,31.19,8.21,112.3,8.8,3.03,18.12,47.75,31.16,8.21,112.7,8.83,0.71,18.13,47.76,31.17,8.21,113.2,8.87,30.2493,-88.8487,1.85,SI Array
BI_DK5,12769,118,0.013933333333333334,0.008533333333333334,0.018866666666666667,0.004266666666666667,0.026566666666666666,0.07216666666666667,0,0,0,18.9,79.5,1.6,ND,11.06,19.52,50.06,32.85,8.17,107,8.08,5.65,18.48,48.58,31.77,8.19,108.9,8.44,0.73,18.47,48.5,31.71,8.19,109.3,8.48,30.2494,-88.8368,3.38,SI Array
BI_DK7,1684,116,0.1178,0.0011666666666666668,0.09326666666666666,1.0584,0,1.2706333333333333,0,0,0,5.8,92.8,1.4,ND,9.07,18.05,48.48,31.69,8.22,112.2,8.78,4.42,18.05,48.49,31.7,8.21,112.2,8.78,0.74,18.04,39.33,25.12,8.21,111.8,8.75,30.2487,-88.8254,3.12,SI Array
